S3 Table. Full list of DEGs identified in vEDS patients' skin fibroblasts.						
Column #	Transcript ID	gene_assignment	Gene Symbol	RefSeq	p-value adjusted (FDR 5%)	Fold-Change 
12886	7982358	NM_001286479 // ARHGAP11A // Rho GTPase activating protein 11A // 15q13.2 // 9824 /// N	ARHGAP11A	NM_001286479	3.94E-05	-2.22133
26876	8122724	NM_025218 // ULBP1 // UL16 binding protein 1 // 6q25 // 80329 /// ENST00000229708 // UL	ULBP1	NM_025218	0.000551569	-2.21662
5809	7912670	NM_001089591 // UQCRHL // ubiquinol-cytochrome c reductase hinge protein like // 1p36.2	UQCRHL	NM_001089591	1.07E-05	-2.19897
6746	7922400	"NR_003938 // SNORD81 // small nucleolar RNA, C/D box 81 // 1q25.1 // 26769 /// ENST0000"	SNORD81	NR_003938	8.16E-05	-2.19185
7228	7927108	NM_014753 // BMS1 // BMS1 ribosome biogenesis factor // 10q11.21 // 9790 /// XM_0052718	BMS1	NM_014753	6.08E-06	-2.1865
30338	8155214	NM_001256685 // MELK // maternal embryonic leucine zipper kinase // 9p13.2 // 9833 /// 	MELK	NM_001256685	0.00368768	-2.18099
10874	7963157	NM_001126103 // RACGAP1 // Rac GTPase activating protein 1 // 12q13.12 // 29127 /// NM_	RACGAP1	NM_001126103	0.000726959	-2.17652
11380	7968658	NM_181503 // EXOSC8 // exosome component 8 // 13q13.1 // 11340 /// XM_006719763 // EXOS	EXOSC8	NM_181503	7.02E-06	-2.16225
22935	8084708	"NR_002588 // SNORA4 // small nucleolar RNA, H/ACA box 4 // 3q27 // 619568 /// ENST00000"	SNORA4	NR_002588	2.55E-05	-2.16021
27945	8133106	"NR_002961 // SNORA22 // small nucleolar RNA, H/ACA box 22 // 7q11.21 // 677807 /// ENST"	SNORA22	NR_002961	0.000162619	-2.15167
26118	8115666	NM_145266 // NUDCD2 // NudC domain containing 2 // 5q34 // 134492 /// XM_011534434 // N	NUDCD2	NM_145266	7.90E-05	-2.13979
9699	7951038	"NR_002973 // SNORA40 // small nucleolar RNA, H/ACA box 40 // 11q21 // 677822 /// ENST00"	SNORA40	NR_002973	1.46E-06	-2.13521
6222	7917199	NM_024686 // TTLL7 // tubulin tyrosine ligase-like family member 7 // 1p31.1 // 79739 /	TTLL7	NM_024686	0.00635379	-2.12619
6847	7923426	NM_001310326 // UBE2T // ubiquitin conjugating enzyme E2T // 1q32.1 // 29089 /// NM_014	UBE2T	NM_001310326	0.000276757	-2.11351
23644	8092095	NM_001161560 // TNIK // TRAF2 and NCK interacting kinase // 3q26.31 // 23043 /// NM_001	TNIK	NM_001161560	6.30E-06	-2.10405
18904	8043602	NM_001281710 // NCAPH // non-SMC condensin I complex subunit H // 2q11.2 // 23397 /// N	NCAPH	NM_001281710	0.0043953	-2.1035
